"","country","countryname","sentence_id","text","date","party","partyname","text_id"
"1579",51,"United Kingdom",1,"MISSION-DRIVEN GOVERNMENT",202407,51320,"Labour Party","51320_202407_1"
"1580",51,"United Kingdom",2,"Ending the Conservative chaos is vital, but turning the page with a new government is not in itself enough to tackle the deep-rooted challenges our country now faces.",202407,51320,"Labour Party","51320_202407_2"
"1581",51,"United Kingdom",3,"To rebuild Britain, we need to change how Britain is governed.",202407,51320,"Labour Party","51320_202407_3"
"1582",51,"United Kingdom",4,"For too long, Britain has been held back by governments that, because they lack a relentless focus on long-term ends, are buffeted about by events.",202407,51320,"Labour Party","51320_202407_4"
"1583",51,"United Kingdom",5,"Politics has enormous potential to change lives for the better, but too often different parts of the government have pursued their own narrow goals rather than working together.",202407,51320,"Labour Party","51320_202407_5"
"1584",51,"United Kingdom",6,"Government is at its best when working in partnership with business, trade unions, civil society, faith groups, and communities.",202407,51320,"Labour Party","51320_202407_6"
"1585",51,"United Kingdom",7,"But without a shared project those partnerships barely get off the ground.",202407,51320,"Labour Party","51320_202407_7"
"1586",51,"United Kingdom",8,"So, as well as a new administration with new priorities, Britain needs a new approach: mission-driven government.",202407,51320,"Labour Party","51320_202407_8"
"1587",51,"United Kingdom",9,"Mission-driven government means raising our sights as a nation and focusing on ambitious, measurable, long-term objectives that provide a driving sense of purpose for the country.",202407,51320,"Labour Party","51320_202407_9"
"1588",51,"United Kingdom",10,"It means a new way of doing government that is more joined up, pushes power out to communities and harnesses new technology, all with one aim in mind – to put the country back in the service of working people.",202407,51320,"Labour Party","51320_202407_10"
"1589",51,"United Kingdom",11,"LABOUR’S FIVE MISSIONS TO REBUILD BRITAIN ARE:",202407,51320,"Labour Party","51320_202407_11"
"1590",51,"United Kingdom",12,"1) Kickstart economic growth to secure the highest sustained growth in the G7 – with good jobs and productivity growth in every part of the country making everyone, not just a few, better off.",202407,51320,"Labour Party","51320_202407_12"
"1591",51,"United Kingdom",13,"2) Make Britain a clean energy superpower to cut bills, create jobs and deliver security with cheaper, zero-carbon electricity by 2030, accelerating to net zero.",202407,51320,"Labour Party","51320_202407_13"
"1592",51,"United Kingdom",14,"3) Take back our streets by halving serious violent crime and raising confidence in the police and criminal justice system to its highest levels.",202407,51320,"Labour Party","51320_202407_14"
"1593",51,"United Kingdom",15,"4) Break down barriers to opportunity by reforming our childcare and education systems, to make sure there is no class ceiling on the ambitions of young people in Britain.",202407,51320,"Labour Party","51320_202407_15"
"1594",51,"United Kingdom",16,"5) Build an NHS fit for the future that is there when people need it; with fewer lives lost to the biggest killers; in a fairer Britain, where everyone lives well for longer.",202407,51320,"Labour Party","51320_202407_16"
"1595",51,"United Kingdom",17,"Delivering the change Britain needs will require perseverance.",202407,51320,"Labour Party","51320_202407_17"
